,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-08-01,-0.010000000000000009,0.07,0.06,0.06,0.06,0.06083333333333335,,,,,,-0.0067829571471620664,-0.008149356885871682,0.05882352941176476,0.17647058823529413,-0.11764705882352937,0.4999999999999997,,,0.065,,,,0.06,0.0,0.2500000000000001
2010-08-02,0.0,0.06,0.06,0.06,0.06,0.059166666666666694,,,,,,-0.006679657590760418,-0.008013773785557449,0.06250000000000007,0.18750000000000003,-0.12499999999999996,0.4999999999999996,,,0.065,,,,0.06,0.0,0.3333333333333333
2010-08-03,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,,,,,,-0.006522603435850177,-0.007727587008236213,0.06666666666666674,0.1333333333333334,-0.06666666666666665,0.33333333333333304,,,0.065,,,,0.06,0.0,0.0
2010-08-04,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,,,,,,-0.006325223645697126,-0.007415302929044517,0.07142857142857151,0.14285714285714293,-0.07142857142857142,0.3333333333333331,,,0.065,,,,0.06,0.0,0.0
2010-08-05,0.0,0.06,0.06,0.06,0.06,0.06083333333333335,,,,,,-0.006098499039215999,-0.007086131038748522,0.09090909090909102,0.0,0.09090909090909102,1.0,,,0.065,,,,0.06,0.0,0.0
2010-08-06,0.0,0.06,0.06,0.06,0.06,0.06166666666666668,,,,,,-0.005851367235970496,-0.006747479204029453,0.11111111111111127,0.0,0.11111111111111127,1.0,,,0.065,,,,0.06,0.0,0.0
2010-08-07,0.0,0.06,0.06,0.06,0.06,0.06166666666666668,,,,,,-0.005591063205097564,-0.00649389498678515,0.12500000000000017,0.0,0.12500000000000017,1.0,,,0.065,,,,0.06,0.0,0.0
2010-08-08,0.0,0.06,0.06,0.06,0.06,0.06166666666666668,,,,,,-0.005323405480566382,-0.006221213392228673,0.14285714285714304,0.0,0.14285714285714304,1.0,,,0.065,,,,0.06,0.0,0.0
2010-08-09,0.010000000000000009,0.06,0.07,0.06,0.07,0.06250000000000001,,,,,,-0.004255315747893049,-0.005936676947579253,0.28571428571428603,0.0,0.28571428571428603,1.0,,,0.065,,,,0.06,1.0,0.3333333333333333
2010-08-10,0.0,0.07,0.07,0.07,0.07,0.06250000000000001,,,,,,-0.0033699996810077487,-0.005557459451339885,0.3333333333333337,0.0,0.3333333333333337,1.0,,,0.07,,,,0.06,,0.5
2010-08-11,0.0,0.07,0.08,0.06,0.07,0.06333333333333335,0.06400000000000004,0.07357427107756342,0.05442572892243667,0.08314854215512679,0.044851457844873294,-0.0026379714271117655,-0.005108383210934478,0.285714285714286,0.142857142857143,0.142857142857143,0.33333333333333337,,0.09374999999999938,0.07500000000000001,,,,0.06,0.0,0.5000000000000003
